"","X","OPE.ID","School","State","Zip.Code","School.Type","Subsidized.Recipients","Subsidized.Num.of.Loans.Originated","Subsidized.Dollars.of.Loans.Originated","Subsidized.Num.of.Disbursements","Subsidized.Dollars.of.Disbursements","Unsubsidized.Undergrad.Recipients","Unsubsidized.Undergrad.Num.of.Loans.Originated","Unsubsidized.Undergrad.Dollars.of.Loans.Originated","Unsubsidized.Undergrad.Num.of.Disbursements","Unsubsidized.Undergrad.Dollars.of.Disbursements","Unsubsidized.Graduate.Recipients","Unsubsidized.Graduate.Num.of.Loans.Originated","Unsubsidized.Graduate.Dollars.of.Loans.Originated","Unsubsidized.Graduate.Num.of.Disbursements","Unsubsidized.Graduate.Dollars.of.Disbursements","Parent.Plus.Recipients","Parent.Plus.Num.of.Loans.Originated","Parent.Plus.Dollars.of.Loans.Originated","Parent.Plus.Num.of.Disbursements","Parent.Plus.Dollars.of.Disbursements","Grad.Plus.Recipients","Grad.Plus.Num.of.Loans.Originated","Grad.Plus.Dollars.of.Loans.Originated","Grad.Plus.Num.of.Disbursements","Grad.Plus.Dollars.of.Disbursements"
"1687",1687,386300,"MARQUETTE UNIVERSITY","WI","532011881","Private-Nonprofit",2319,2370,10366049,2370,5363931,2581,2695,8922453,2695,4555377,1670,1722,38458345,1722,19663480,807,842,18956486,842,9825105,1003,1062,29360926,1062,14880557
"1688",1688,386800,"MILWAUKEE SCHOOL OF ENGINEERING","WI","532023109","Private-Nonprofit",1150,1159,5095049,1159,1741985,1305,1333,4843313,1333,1653958,41,41,700992,41,281463,144,147,2977449,147,1016069,6,7,196835,7,52116
"1689",1689,386900,"MOUNT MARY UNIVERSITY","WI","532224597","Private-Nonprofit",347,347,1556502,347,783416,307,315,1139277,315,577419,218,218,4213357,218,2104713,28,28,404853,28,222769,21,21,232611,21,129062
"1690",1690,387400,"NASHOTAH HOUSE","WI","530589793","Private-Nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,58152,4,29076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1691",1691,387500,"NORTHLAND COLLEGE","WI","548063999","Private-Nonprofit",262,262,1178014,262,589759,303,310,1068461,310,539569,NA,NA,NA,NA,NA,31,31,419802,31,217663,NA,NA,NA,NA,NA
"1692",1692,388400,"RIPON COLLEGE","WI","549710248","Private-Nonprofit",502,502,2126543,502,1063649,569,584,1896806,584,949693,NA,NA,NA,NA,NA,56,56,407827,56,313382,NA,NA,NA,NA,NA
"1693",1693,389200,"SAINT NORBERT COLLEGE","WI","541152099","Private-Nonprofit",788,793,3566464,793,1809757,922,948,3223835,948,1626987,3,3,13566,3,13566,164,168,3227146,168,1632466,NA,NA,NA,NA,NA
"1694",1694,389500,"UNIVERSITY OF WISCONSIN - MADISON","WI","537061380","Public",4034,4061,17239807,4061,8817986,5675,5866,24400302,5866,12375078,2741,2793,69904836,2793,35369999,544,553,13012008,553,6760660,466,475,8768802,475,4521665
"1695",1695,389600,"UNIVERSITY OF WISCONSIN - MILWAUKEE","WI","532113165","Public",6063,6199,24939849,6223,12762371,6739,6974,29914619,7002,15325351,1474,1499,25221279,1517,12966049,458,460,6280280,463,3226463,89,89,1292511,92,721723
"1696",1696,389900,"UNIVERSITY OF WISCONSIN - GREEN BAY","WI","543117001","Public",1864,1897,7009286,1897,3606478,2114,2241,9610935,2241,4959144,173,179,2452669,179,1230915,101,101,965032,101,509219,3,3,15099,3,5819
"1697",1697,391100,"VITERBO UNIVERSITY","WI","546014777","Private-Nonprofit",738,750,3169333,750,1642469,779,818,3091793,818,1600829,228,234,3046469,234,1553529,230,234,3367129,234,1732302,18,21,129106,21,61316
"1698",1698,391500,"UNIVERSITY OF WISCONSIN - STOUT","WI","547510790","Public",1750,1756,7167708,1756,3679419,2301,2331,10093878,2331,5193227,285,291,3669062,291,1919026,105,106,1059979,106,539043,5,5,56072,5,28036
"1699",1699,391700,"UNIVERSITY OF WISCONSIN - EAU CLAIRE","WI","547024004","Public",2449,2450,9975279,2459,5179548,3208,3225,13742892,3233,7076645,178,179,2711975,179,1370316,123,123,1142201,124,586378,NA,NA,NA,NA,NA
"1700",1700,391900,"UNIVERSITY OF WISCONSIN - LACROSSE","WI","546013742","Public",2050,2090,7805944,2090,4035881,3220,3353,14902875,3353,7638827,421,447,4841494,447,2623929,304,308,3203775,308,1634138,34,36,468290,36,243547
"1701",1701,392000,"UNIVERSITY OF WISCONSIN - OSHKOSH","WI","549018604","Public",2215,2364,8652486,2367,4450699,2680,2900,11943406,2901,6201258,345,361,4976383,361,2584041,379,380,4039548,380,2068795,34,34,547694,34,331667
"1702",1702,392100,"UNIVERSITY OF WISCONSIN - PLATTEVILLE","WI","538183099","Public",1841,1847,7418835,1847,3869498,2315,2363,9607857,2363,4963354,129,131,1937507,131,1018689,192,204,2009937,204,1028838,4,4,5332,4,2668
"1703",1703,392300,"UNIVERSITY OF WISCONSIN - RIVER FALLS","WI","540225013","Public",1260,1272,5030927,1277,2543031,1805,1849,8340192,1859,4233738,159,164,2322633,164,1173608,101,103,990180,104,517815,1,1,4500,1,2250
"1704",1704,392400,"UNIVERSITY OF WISCONSIN - STEVENS POINT","WI","544813897","Public",1840,1875,7136444,1875,3662381,2133,2228,8831173,2228,4532918,97,103,1443853,103,749375,177,181,1825140,181,937154,3,3,15080,3,8619
"1705",1705,392500,"UNIVERSITY OF WISCONSIN - SUPERIOR","WI","548802898","Public",589,593,2410045,607,1252018,709,755,3429906,757,1804346,139,140,1604594,140,880169,14,14,110826,15,58563,NA,NA,NA,NA,NA
"1706",1706,392600,"UNIVERSITY OF WISCONSIN - WHITEWATER","WI","531901792","Public",2890,2916,11738013,2918,6061871,3807,3948,16076795,3951,8307398,461,475,7363988,475,3736651,393,403,4947399,403,2528816,11,12,131930,12,65965
"1707",1707,392800,"CASPER COLLEGE","WY","826014612","Public",330,330,1142424,332,572289,393,393,1942523,403,976165,NA,NA,NA,NA,NA,2,2,13788,2,6893,NA,NA,NA,NA,NA
"1708",1708,392900,"EASTERN WYOMING COLLEGE","WY","822401603","Public",48,48,167019,48,83505,44,44,159047,44,79520,NA,NA,NA,NA,NA,5,5,30652,5,12146,NA,NA,NA,NA,NA
"1709",1709,393000,"NORTHERN WYOMING COMMUNITY COLLEGE DISTRICT","WY","828019133","Public",238,238,823372,238,370398,262,262,1195617,262,535336,NA,NA,NA,NA,NA,6,6,54483,6,32207,NA,NA,NA,NA,NA
"1710",1710,393100,"NORTHWEST COLLEGE","WY","824351895","Public",75,75,261531,75,133584,97,99,401653,99,205861,NA,NA,NA,NA,NA,2,2,19027,2,10314,NA,NA,NA,NA,NA
"1711",1711,393200,"UNIVERSITY OF WYOMING","WY","820712000","Public",1396,1407,5625622,1407,2888932,1811,1838,8174882,1838,4126550,496,509,7105071,509,3940877,167,169,2902618,169,1386968,112,120,1724205,120,763486
"1712",1712,393300,"WESTERN WYOMING COMMUNITY COLLEGE","WY","829010428","Public",141,141,499242,141,250035,84,95,317748,95,158880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1713",1713,393600,"PONTIFICAL CATHOLIC UNIVERSITY OF PUERTO RICO (THE)","PR","7170655","Private-Nonprofit",58,58,108844,114,99844,28,28,86330,51,62749,887,897,14896979,924,6262096,NA,NA,NA,NA,NA,238,238,3270819,240,1559368
"1714",1714,393700,"UNIVERSIDAD DEL SAGRADO CORAZ?N","PR","9140383","Private-Nonprofit",380,380,1642495,380,822836,138,138,812306,138,390202,97,97,853975,97,286049,1,1,9000,1,4500,NA,NA,NA,NA,NA
"1715",1715,393900,"INTER AMERICAN UNIVERSITY OF PUERTO RICO - AGUADILLA CAMPUS","PR","6052000","Private-Nonprofit",176,176,809550,176,428175,23,24,86350,24,42758,98,99,819666,99,276436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1716",1716,394000,"INTER AMERICAN UNIVERSITY OF PUERTO RICO - METROPOLITAN CAMPUS","PR","9191293","Private-Nonprofit",580,581,2736912,584,974460,246,247,1367593,247,484430,1124,1144,13108598,1148,4951548,19,19,191980,19,70592,19,19,321000,19,124000
"1717",1717,394100,"UNIVERSIDAD ANA G. MêNDEZ - CAROLINA CAMPUS","PR","9832010","Private-Nonprofit",623,625,2104219,625,1432675,364,366,1492487,366,1046324,740,746,8542816,746,6087386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1718",1718,394600,"UNIVERSITY OF THE VIRGIN ISLANDS","VI","8029990","Public",122,122,480771,122,240155,92,92,415757,92,204762,44,44,818881,44,404323,1,1,8837,1,4419,2,2,31347,2,15674
"1719",1719,394700,"UNIVERSITY OF CALIFORNIA, HASTINGS COLLEGE OF THE LAW","CA","941024978","Public",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,654,654,12967513,660,6600618,NA,NA,NA,NA,NA,535,535,18067337,552,9038086
"1720",1720,394800,"SAN FRANCISCO ART INSTITUTE","CA","941332299","Private-Nonprofit",1,1,2063,1,2063,1,1,2625,1,2625,4,4,74750,4,37375,NA,NA,NA,NA,NA,2,2,18952,2,9476
"1721",1721,395400,"UNIVERSITY OF CENTRAL FLORIDA-MAIN CAMPUS","FL","328160001","Public",8538,8539,19253333,8555,19253333,7947,7981,20157418,7992,20157418,2487,2487,20124127,2502,20124127,580,580,9298528,583,4921191,119,119,1035528,119,759226
"1722",1722,395500,"UNIVERSITY OF WEST FLORIDA (THE)","FL","325145750","Public",1834,1834,7883982,1834,4145895,1818,1818,8558063,1818,4471219,1133,1133,14372521,1133,7612354,75,75,1209532,75,501540,45,45,609098,45,270496
"1723",1723,395600,"DALTON STATE COLLEGE","GA","307203797","Public",510,510,1864609,512,931402,475,482,2121192,484,1060702,NA,NA,NA,NA,NA,24,24,162347,24,81179,NA,NA,NA,NA,NA
"1724",1724,396100,"HARPER COLLEGE","IL","600677398","Public",208,210,759791,210,379905,247,251,1074300,251,537161,NA,NA,NA,NA,NA,1,1,4000,1,2000,NA,NA,NA,NA,NA
"1725",1725,396500,"BAY STATE COLLEGE","MA","21164101","Proprietary",57,57,218386,58,110320,74,74,372131,75,188631,NA,NA,NA,NA,NA,7,7,110038,7,55020,NA,NA,NA,NA,NA
"1726",1726,396600,"BOSTON ARCHITECTURAL COLLEGE","MA","21152795","Private-Nonprofit",73,73,311286,73,158286,83,85,421972,87,216944,159,159,3015582,160,1652510,14,14,234587,15,118641,91,91,822571,94,410038
"1727",1727,396900,"UNIVERSITY OF MINNESOTA - TWIN CITIES","MN","554550422","Public",6186,6391,25144835,6391,13182559,8446,8544,37741103,8544,19584303,4151,4337,86961101,4337,48868655,1299,1324,21657254,1324,11225394,1976,2063,31457074,2063,17442097
"1728",1728,397900,"TEACHERS COLLEGE, COLUMBIA UNIVERSITY","NY","100276696","Private-Nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1047,1075,20159397,1082,10100192,NA,NA,NA,NA,NA,618,707,16682162,709,8209882
"1729",1729,398100,"UNIVERSITY OF NORTH CAROLINA SCHOOL OF THE ARTS","NC","271272188","Public",345,346,1466597,347,733705,405,421,1473935,421,736983,93,93,1807083,93,903549,101,106,1909929,106,959421,38,39,444472,39,222997
"1730",1730,398200,"CLEVELAND INSTITUTE OF ART (THE)","OH","441064387","Private-Nonprofit",430,430,1970173,430,985085,440,469,1333076,469,668289,NA,NA,NA,NA,NA,153,153,3207906,153,1695751,NA,NA,NA,NA,NA
"1731",1731,398500,"ORAL ROBERTS UNIVERSITY","OK","741710001","Private-Nonprofit",1189,1190,4694928,1190,2536916,1355,1506,5002424,1506,2703325,143,143,1032128,143,1001595,459,459,6407010,459,3387586,4,4,27150,4,27150
"1732",1732,398600,"DESALES UNIVERSITY","PA","180349568","Private-Nonprofit",949,949,4172052,949,2087117,1182,1182,4699397,1182,2353822,159,159,2776040,226,1345878,179,179,3513732,182,1840131,29,30,518392,33,247193
"1733",1733,398700,"LA ROCHE UNIVERSITY","PA","152375898","Private-Nonprofit",541,541,2397321,546,1207008,594,594,2158197,605,1090953,118,118,1352156,118,1161750,121,122,1679117,125,889762,66,66,1000990,66,997847
"1734",1734,398800,"NEUMANN UNIVERSITY","PA","190141298","Private-Nonprofit",921,921,4018503,921,1944747,1081,1081,4269368,1081,2027328,161,161,3242143,161,1182473,201,201,3059004,201,1528107,21,21,418269,21,169824
"1735",1735,399000,"FLORENCE - DARLINGTON TECHNICAL COLLEGE","SC","295011251","Public",205,205,731160,205,313893,340,340,1878972,340,814635,NA,NA,NA,NA,NA,4,4,29919,4,14958,NA,NA,NA,NA,NA
"1736",1736,399100,"GREENVILLE TECHNICAL COLLEGE","SC","296072439","Public",772,780,2667727,780,1329288,808,861,3753409,861,1852890,NA,NA,NA,NA,NA,21,21,162632,21,73440,NA,NA,NA,NA,NA
"1737",1737,399200,"PIEDMONT TECHNICAL COLLEGE","SC","296481467","Public",853,869,2858581,869,1431796,925,971,4960870,971,2488640,NA,NA,NA,NA,NA,3,3,13100,3,5433,NA,NA,NA,NA,NA
"1738",1738,399300,"MIDLANDS TECHNICAL COLLEGE - AIRPORT CAMPUS","SC","291702199","Public",1362,1366,4788203,1366,2402579,773,825,2710318,825,1317285,NA,NA,NA,NA,NA,52,53,586485,53,276670,NA,NA,NA,NA,NA
"1739",1739,399500,"CENTRAL CAROLINA TECHNICAL COLLEGE","SC","291502499","Public",179,179,493467,179,246886,134,134,322321,139,162098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1740",1740,399600,"YORK TECHNICAL COLLEGE","SC","297303395","Public",214,214,778120,214,389064,70,70,331848,70,165922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1741",1741,399800,"CHATTANOOGA STATE COMMUNITY COLLEGE","TN","374061097","Public",985,991,3557437,992,1778099,992,1003,4844834,1004,2414576,NA,NA,NA,NA,NA,3,3,10000,3,5000,NA,NA,NA,NA,NA
"1742",1742,399900,"CLEVELAND STATE COMMUNITY COLLEGE","TN","373122858","Public",227,229,805476,229,208229,215,215,1066561,215,279989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1743",1743,400300,"CENTRAL TEXAS COLLEGE","TX","765404199","Public",879,879,3239582,880,818929,831,831,4376361,833,1100911,NA,NA,NA,NA,NA,4,4,24000,4,6000,NA,NA,NA,NA,NA
"1744",1744,400700,"MADISON AREA TECHNICAL COLLEGE","WI","537042599","Public",1416,1422,5197146,1422,2597433,1468,1510,7868158,1512,3866073,NA,NA,NA,NA,NA,4,4,43697,4,21850,NA,NA,NA,NA,NA
"1745",1745,400900,"MESABI RANGE COLLEGE","MN","557920000","Public",142,149,509979,149,254995,184,199,891679,199,446424,NA,NA,NA,NA,NA,5,5,29437,5,14719,NA,NA,NA,NA,NA
"1746",1746,402400,"GEORGIA NORTHWESTERN TECHNICAL COLLEGE","GA","301616757","Public",197,197,552932,198,90723,181,181,554189,186,93816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1747",1747,402700,"UTAH VALLEY UNIVERSITY","UT","840585999","Public",4379,4407,17365940,4407,9110684,3894,3925,19897506,3925,10377072,196,200,2793313,200,1361508,36,36,489657,36,267305,3,3,51372,3,20086
"1748",1748,403300,"ASHEVILLE BUNCOMBE TECHNICAL COMMUNITY COLLEGE","NC","288014897","Public",153,153,567379,308,142855,226,226,1386587,462,353539,NA,NA,NA,NA,NA,4,4,37041,10,15055,NA,NA,NA,NA,NA
"1749",1749,405400,"HEBREW UNION COLLEGE - JEWISH INSTITUTE OF RELIGION","NY","100121186","Private-Nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,60,1053823,60,530911,NA,NA,NA,NA,NA,30,30,564665,30,282340
"1750",1750,405600,"NORTH AMERICAN BAPTIST SEMINARY","SD","571052729","Private-Nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,10000,2,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1751",1751,405700,"NATIONAL AMERICAN UNIVERSITY","SD","577013692","Proprietary",116,116,353052,133,139995,130,130,491396,153,202737,56,56,641248,66,263471,1,1,5336,1,2668,NA,NA,NA,NA,NA
"1752",1752,405800,"GRATZ COLLEGE","PA","190273097","Private-Nonprofit",1,1,2250,1,2250,2,2,9500,2,6250,59,59,987579,60,347963,NA,NA,NA,NA,NA,2,2,17400,2,6800
"1753",1753,406000,"WINEBRENNER THEOLOGICAL SEMINARY","OH","458407514","Private-Nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,169194,13,59936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1754",1754,406200,"PITT COMMUNITY COLLEGE","NC","285900000","Public",520,520,1861610,521,930540,659,659,3137014,660,1574521,NA,NA,NA,NA,NA,14,14,146271,14,71634,NA,NA,NA,NA,NA
"1755",1755,406900,"UNIVERSITY OF MINNESOTA - CROOKSTON","MN","567165001","Public",530,550,2102633,550,1101204,649,693,3707210,693,1914138,NA,NA,NA,NA,NA,22,22,207403,22,116639,NA,NA,NA,NA,NA
"1756",1756,407100,"WALSH COLLEGE OF ACCOUNTANCY & BUSINESS ADMINISTRATION","MI","480835066","Private-Nonprofit",76,76,372198,76,110765,68,68,377478,68,116151,132,132,2168236,132,712678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1757",1757,407200,"NORTHWOOD UNIVERSITY","MI","486402398","Private-Nonprofit",736,737,3262409,737,1656746,843,859,4056744,859,2047489,141,141,2543590,141,1328554,122,122,1962563,122,1074282,5,5,46222,5,20468
"1758",1758,407500,"EASTERN IOWA COMMUNITY COLLEGE DISTRICT","IA","528011419","Public",898,900,3065163,905,1540026,884,884,4373863,888,2192272,NA,NA,NA,NA,NA,5,5,23560,5,11781,NA,NA,NA,NA,NA
"1759",1759,407600,"KIRKWOOD COMMUNITY COLLEGE","IA","524062068","Public",1827,1827,6570143,1827,3203647,1955,1955,9165004,1955,4474022,NA,NA,NA,NA,NA,45,45,440056,45,211600,NA,NA,NA,NA,NA
"1760",1760,408000,"STARR KING SCHOOL FOR THE MINISTRY","CA","947091299","Private-Nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,18,301036,18,151518,NA,NA,NA,NA,NA,5,5,112480,5,56241
"1761",1761,411700,"GRADY HEALTH SYSTEM","GA","303033050","Public",18,18,76274,18,25425,37,43,291291,43,97098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1762",1762,423300,"ST LUKES METHODIST HOSPITAL SCHOOL OF RADIOLOGIC TECHNOLOGY","IA","524025098","Private-Nonprofit",7,7,21439,12,15275,8,8,40215,13,24358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1763",1763,445300,"DALLAS COLLEGE","TX","752023604","Public",2440,2440,8309599,2442,4154422,2166,2180,10714027,2181,5332331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1764",1764,448000,"DE ANZA COMMUNITY COLLEGE","CA","950145793","Public",103,103,390167,105,99886,96,97,535497,98,136000,NA,NA,NA,NA,NA,4,4,84000,4,21000,NA,NA,NA,NA,NA
"1765",1765,448100,"OHLONE COLLEGE","CA","945395847","Public",17,17,58280,17,14570,16,16,83820,16,20955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1766",1766,448400,"JOHN F. KENNEDY UNIVERSITY","CA","945234817","Private-Nonprofit",1,1,4244,1,2122,NA,NA,NA,NA,NA,16,16,310498,16,127097,NA,NA,NA,NA,NA,6,6,160568,6,60149
"1767",1767,450200,"CITY COLLEGE OF SAN FRANCISCO","CA","941121821","Public",17,17,68500,17,34250,13,13,66000,13,33000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1768",1768,450600,"COLORADO MOUNTAIN COLLEGE","CO","816013307","Public",319,319,1136414,319,574908,264,266,1048568,266,525854,NA,NA,NA,NA,NA,45,46,580581,46,292170,NA,NA,NA,NA,NA
"1769",1769,450800,"UNIVERSITY OF COLORADO DENVER","CO","802042029","Public",2387,2426,10286107,2426,5464212,2351,2412,12421898,2412,6680201,3443,3761,79642162,3761,41449050,432,451,7255911,451,3744044,1784,1886,34366348,1886,17541034
"1770",1770,450900,"UNIVERSITY OF COLORADO COLORADO SPRINGS","CO","809183735","Public",2392,2440,10124991,2440,5253533,2533,2608,11554407,2608,5987848,707,761,11708958,761,5904487,431,442,6922317,442,3927723,67,72,817238,73,495192
"1771",1771,454900,"LEEWARD COMMUNITY COLLEGE","HI","967823393","Public",79,80,268791,80,134399,104,104,529608,104,264806,NA,NA,NA,NA,NA,2,2,10600,2,5300,NA,NA,NA,NA,NA
"1772",1772,456000,"GEM CITY COLLEGE","IL","623014949","Proprietary",1,1,3000,1,1500,1,1,1333,1,667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1773",1773,457900,"INTERNATIONAL BUSINESS COLLEGE","IN","462563954","Proprietary",127,127,413725,127,224392,137,183,390180,185,218884,NA,NA,NA,NA,NA,42,43,393603,46,218201,NA,NA,NA,NA,NA
"1774",1774,458600,"PURDUE UNIVERSITY GLOBAL","IN","462400000","Public",7203,7617,23332581,8679,10625273,7494,7831,39894644,8875,17572759,2757,2838,35952063,3288,14454079,73,74,672935,90,291293,33,34,497595,40,197426
"1775",1775,458700,"NORTHEAST IOWA COMMUNITY COLLEGE","IA","521320400","Public",509,513,1681695,513,848842,504,518,2362280,518,1159049,NA,NA,NA,NA,NA,2,2,16197,2,8099,NA,NA,NA,NA,NA
"1776",1776,459500,"HAWKEYE COMMUNITY COLLEGE","IA","507048015","Public",867,868,2943846,868,1462400,972,979,4539956,979,2246726,NA,NA,NA,NA,NA,22,22,180732,22,87888,NA,NA,NA,NA,NA
"1777",1777,459800,"IOWA WESTERN COMMUNITY COLLEGE - COUNCIL BLUFFS","IA","515030567","Public",1016,1021,3378137,1021,1698449,1093,1165,5246395,1165,2627135,NA,NA,NA,NA,NA,63,63,550471,63,276302,NA,NA,NA,NA,NA
"1778",1778,460000,"NORTHWEST IOWA COMMUNITY COLLEGE","IA","512011046","Public",123,123,413911,123,197988,154,209,664134,209,311562,NA,NA,NA,NA,NA,2,2,9400,2,4800,NA,NA,NA,NA,NA
"1779",1779,460800,"BARTON COUNTY COMMUNITY COLLEGE","KS","675309283","Public",238,238,870161,239,439127,240,240,1301448,240,644405,NA,NA,NA,NA,NA,3,3,19000,3,9500,NA,NA,NA,NA,NA
"1780",1780,461900,"SULLIVAN UNIVERSITY","KY","402053031","Proprietary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,89,2303195,90,789810,NA,NA,NA,NA,NA,83,83,2367586,83,817076
"1781",1781,462100,"AYERS CAREER COLLEGE","LA","711085845","Proprietary",16,16,56000,16,28000,22,22,132120,22,66060,NA,NA,NA,NA,NA,4,4,21526,4,10763,NA,NA,NA,NA,NA
"1782",1782,462500,"DELGADO COMMUNITY COLLEGE","LA","701194399","Public",3927,3939,14437421,3939,7235213,4416,4526,23453883,4526,11770262,NA,NA,NA,NA,NA,3,3,16572,3,8286,NA,NA,NA,NA,NA
"1783",1783,464100,"DUNWOODY COLLEGE OF TECHNOLOGY","MN","554031192","Private-Nonprofit",513,514,1979032,514,983316,572,582,2729004,582,1356574,NA,NA,NA,NA,NA,36,36,716065,36,353698,NA,NA,NA,NA,NA
"1784",1784,466100,"HAMPSHIRE COLLEGE","MA","10023359","Private-Nonprofit",294,307,1399751,307,708623,320,332,1054436,332,534820,NA,NA,NA,NA,NA,47,47,774898,47,420461,NA,NA,NA,NA,NA
"1785",1785,466600,"AMERICAN COLLEGE FOR MEDICAL CAREERS","FL","328094633","Proprietary",1,1,375,1,188,1,1,500,1,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1786",1786,467300,"BAKER COLLEGE","MI","488678956","Private-Nonprofit",1793,1845,6803440,1845,3427069,1762,1867,9284002,1867,4666112,180,184,3002292,184,1503380,53,53,627718,53,316093,4,4,53112,4,26557
"1787",1787,469200,"DORSEY SCHOOL OF BUSINESS","MI","480711871","Proprietary",651,651,1852302,759,803251,728,728,3347008,847,1420634,NA,NA,NA,NA,NA,40,40,215435,50,93640,NA,NA,NA,NA,NA
"1788",1788,470300,"LOGAN UNIVERSITY","MO","630175529","Private-Nonprofit",118,120,488272,120,196699,108,110,605234,110,225898,547,552,14585874,552,7459587,NA,NA,NA,NA,NA,90,101,920677,101,603902
"1789",1789,470700,"COVENANT THEOLOGICAL SEMINARY","MO","631418609","Private-Nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,90,1063841,91,523504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1790",1790,471100,"STATE TECHNICAL COLLEGE OF MISSOURI","MO","650519607","Public",404,404,1384308,404,701026,586,592,2430432,592,1215305,NA,NA,NA,NA,NA,28,28,234787,28,174470,NA,NA,NA,NA,NA
"1791",1791,471300,"THREE RIVERS COLLEGE","MO","639012393","Public",193,193,691769,193,347171,197,197,904158,197,447341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1792",1792,474200,"CENTRAL NEW MEXICO COMMUNITY COLLEGE","NM","871064096","Public",547,547,2132376,549,728654,147,147,554023,148,193798,NA,NA,NA,NA,NA,3,3,15725,3,9131,NA,NA,NA,NA,NA
"1793",1793,474300,"CLOVIS COMMUNITY COLLEGE","NM","881018381","Public",31,31,104660,31,29305,23,23,75833,23,20462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1794",1794,475900,"CUNY YORK COLLEGE","NY","114510001","Public",212,216,836687,275,509336,141,147,490115,182,288567,99,101,1533017,123,899572,1,1,15000,1,7500,10,12,200371,12,100185
"1795",1795,476500,"CUNY GRADUATE SCHOOL & UNIVERSITY CENTER","NY","100164309","Public",4,4,10492,4,5246,3,3,13308,3,6654,526,562,8825350,628,4714695,NA,NA,NA,NA,NA,173,178,2767739,184,1385436
"1796",1796,479900,"MONROE COLLEGE","NY","104684305","Proprietary",133,133,496835,133,290043,143,143,417787,143,277998,17,17,177912,17,95337,13,13,110889,13,59073,NA,NA,NA,NA,NA
"1797",1797,483800,"GUILFORD TECHNICAL COMMUNITY COLLEGE","NC","272820309","Public",2091,2091,7332121,2091,1309009,2163,2163,11334950,2163,1874030,NA,NA,NA,NA,NA,13,13,124234,13,20711,NA,NA,NA,NA,NA
"1798",1798,484400,"WAKE TECHNICAL COMMUNITY COLLEGE","NC","276035696","Public",2649,2649,8901635,2649,4467478,2605,2720,13126023,2720,6583386,NA,NA,NA,NA,NA,8,8,80462,8,40231,NA,NA,NA,NA,NA
"1799",1799,485200,"CLARK STATE COMMUNITY COLLEGE","OH","455054795","Public",1018,1019,3559607,1019,1771731,1108,1206,3074578,1206,1538433,NA,NA,NA,NA,NA,6,6,45173,6,22586,NA,NA,NA,NA,NA
"1800",1800,485500,"DAVIS COLLEGE","OH","436042638","Proprietary",8,8,21667,8,7766,10,10,46083,10,16528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1801",1801,486100,"UNIVERSITY OF NORTHWESTERN OHIO","OH","458051498","Private-Nonprofit",872,872,2345376,1017,727670,1038,1340,2671049,1528,840765,21,21,220889,29,128782,185,186,1748606,208,468087,NA,NA,NA,NA,NA
